"split","model","aggregation","n_patients","n_early","n_advanced","auroc"
"test","Deterministic EM-MMIL","q99_prob",11,5,6,0.866666666666667
"test","Deterministic EM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","q90_prob",11,5,6,0.833333333333333
"test","Deterministic EM-MMIL","median_prob",11,5,6,0.8
"test","Deterministic EM-MMIL","prop_gt_0.5",11,5,6,0.8
"test","Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.7
"test","MCEM-MMIL","q99_prob",11,5,6,0.866666666666667
"test","MCEM-MMIL","mean_prob",11,5,6,0.833333333333333
"test","MCEM-MMIL","q90_prob",11,5,6,0.833333333333333
"test","MCEM-MMIL","median_prob",11,5,6,0.8
"test","MCEM-MMIL","prop_gt_0.5",11,5,6,0.8
"test","MCEM-MMIL","prop_gt_0.9",11,5,6,0.733333333333333
"test","Naive inherited-label classifier","mean_prob",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","prop_gt_0.5",11,5,6,0.866666666666667
"test","Naive inherited-label classifier","q90_prob",11,5,6,0.833333333333333
"test","Naive inherited-label classifier","q99_prob",11,5,6,0.8
"test","Naive inherited-label classifier","prop_gt_0.9",11,5,6,0.783333333333333
"test","Naive inherited-label classifier","median_prob",11,5,6,0.766666666666667
"train","Deterministic EM-MMIL","mean_prob",33,15,18,0.896296296296296
"train","Deterministic EM-MMIL","median_prob",33,15,18,0.892592592592593
"train","Deterministic EM-MMIL","q90_prob",33,15,18,0.87037037037037
"train","Deterministic EM-MMIL","q99_prob",33,15,18,0.855555555555556
"train","Deterministic EM-MMIL","prop_gt_0.5",33,15,18,0.827777777777778
"train","Deterministic EM-MMIL","prop_gt_0.9",33,15,18,0.714814814814815
"train","MCEM-MMIL","mean_prob",33,15,18,0.896296296296296
"train","MCEM-MMIL","median_prob",33,15,18,0.888888888888889
"train","MCEM-MMIL","q90_prob",33,15,18,0.877777777777778
"train","MCEM-MMIL","q99_prob",33,15,18,0.851851851851852
"train","MCEM-MMIL","prop_gt_0.5",33,15,18,0.807407407407407
"train","MCEM-MMIL","prop_gt_0.9",33,15,18,0.714814814814815
"train","Naive inherited-label classifier","mean_prob",33,15,18,0.955555555555555
"train","Naive inherited-label classifier","prop_gt_0.5",33,15,18,0.940740740740741
"train","Naive inherited-label classifier","median_prob",33,15,18,0.922222222222222
"train","Naive inherited-label classifier","q90_prob",33,15,18,0.892592592592593
"train","Naive inherited-label classifier","prop_gt_0.9",33,15,18,0.885185185185185
"train","Naive inherited-label classifier","q99_prob",33,15,18,0.874074074074074
